"extension","count"
".js","21113"
".py","15411"
".pyc","15369"
".ts","10570"
".map","8432"
"","6386"
".mjs","3769"
".mts","3595"
".pyi","2140"
".json","1364"
".md","1296"
".cjs","680"
".pyd","674"
".csv","660"
".cts","615"
".tsx","433"
".c","324"
".txt","315"
".dll","273"
".h","265"
".lib","262"
".geojson","257"
".kml","252"
".gfs","245"
".f90","240"
".ttf","155"
".woff2","148"
".png","125"
".cmake","121"
".afm","120"
".exe","117"
".pxd","113"
".sql","109"
".f","96"
".css","94"
".typed","77"
".svg","73"
".otf","72"
".snap","72"
".xsd","65"
".pyx","63"
".mplstyle","58"
".yml","57"
".ps1","52"
".pxi","38"
".xml","36"
".eslintrc","34"
".html","32"
".tab","32"
".cmd","31"
".ini","30"
".wkt","28"
".tpl","28"
".pyf","28"
".jst","25"
".pdf","23"
".npy","22"
".gz","19"
".cpp","19"
".log","18"
".tsbuildinfo","15"
".gpkg","15"
".dxf","14"
".nycrc","14"
".dgn","14"
".npz","14"
".sh","13"
".hpp","13"
".npmignore","12"
".zip","12"
".build","12"
".cfg","12"
".mako","12"
".db","11"
".extra","11"
".lst","11"
".markdown","11"
".tmpl","10"
".bat","9"
".zi","8"
".f2py_f2cmap","8"
".pem","8"
".rsc","7"
".toml","7"
".prj","7"
".dbf","7"
".cpg","7"
".shx","7"
".xsl","7"
".shp","7"
".editorconfig","7"
".eslintignore","6"
".flow","6"
".parquet","6"
".rst","6"
".BSD","6"
".yaml","6"
".gitignore","6"
".def","5"
".wasm","5"
".pth","5"
".1","5"
".example","5"
".inc","4"
".f95","4"
".whl","4"
".gitkeep","4"
".dat","4"
".template","4"
".APACHE","4"
".fits","4"
".pc","4"
".pkl","4"
".applescript","3"
".jekyll-metadata","3"
".nvmrc","3"
".tgz","3"
".mapml","3"
".pbf","3"
".babelrc","2"
".coffee","2"
".asm","2"
".external","2"
".node","2"
".bnf","2"
".jshintrc","2"
".obj","2"
".xrc","2"
".env","2"
".jpeg","2"
".xslt","2"
".lock","2"
".jpg","2"
".ttc","2"
".astro","2"
".lua","2"
".ico","2"
".kmz","1"
".gif","1"
".xlsx","1"
".webmanifest","1"
".php","1"
".production","1"
".npmrc","1"
".dump","1"
".code-workspace","1"
".njs","1"
".scss","1"
".rng","1"
".PSF","1"
