"FullName","Size"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA","1188858897"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\project_analysis","676484647"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\project_analysis\acervo-rc","623810733"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\project_analysis\acervo-rc\node_modules","496147663"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\.venv","381138664"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\.venv\Lib\site-packages","376379690"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\.venv\Lib","376379690"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\Villa_Canabrava_Digital_World","360076481"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\Villa_Canabrava_Digital_World\.venv","353665578"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\Villa_Canabrava_Digital_World\.venv\Lib","351844068"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\Villa_Canabrava_Digital_World\.venv\Lib\site-packages","351844068"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\.venv","306818001"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\.venv\Lib","305427814"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\.venv\Lib\site-packages","305427814"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\.venv-gis","298102980"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\.venv-gis\Lib","296818939"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\.venv-gis\Lib\site-packages","296818939"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\tools","123277145"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\tools\supabase","123211120"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\project_analysis\acervo-rc\node_modules\.ignored","116358976"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\project_analysis\acervo-rc\dist","64513402"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\project_analysis\acervo-rc\public","62258414"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\project_analysis\acervo-rc\public\fonts\inter","61931201"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\project_analysis\acervo-rc\dist\fonts","61931201"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\project_analysis\acervo-rc\dist\fonts\inter","61931201"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\project_analysis\acervo-rc\public\fonts","61931201"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\user_input_files","56362144"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\.venv-gis\Lib\site-packages\pandas","55062695"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\Villa_Canabrava_Digital_World\.venv\Lib\site-packages\pandas","55059865"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\.venv\Lib\site-packages\pandas","55057035"
