"FullName","Length","LastWriteTime"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA.zip","481732471","07/02/2026 12:17:54"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\.venv.zip","136121646","07/02/2026 12:07:31"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\.venv-gis.zip","100947976","07/02/2026 12:06:11"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\tools\supabase\supabase.exe","93608448","14/01/2026 01:19:45"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\user_input_files\package(23).zip","52627099","02/02/2026 21:56:29"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\tools\supabase\supabase.tar.gz","29596902","02/02/2026 22:59:33"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\Documentaçao Auxiliar  Mundo Virtual Villa\00_DOCUMENTACAO_OFICIAL_V2\04_PLANOS_DE_EXECUCAO\EM-EXECUCAO\01_PLANO_EXECUCAO_DIGITAL-APRESENTAÇAO.pdf","23799291","05/02/2026 20:47:27"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\.venv\Lib\site-packages\numpy.libs\libscipy_openblas64_-13e2df515630b4a41f92893938845698.dll","20390912","06/02/2026 04:35:22"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\.venv-gis\Lib\site-packages\numpy.libs\libscipy_openblas64_-13e2df515630b4a41f92893938845698.dll","20390912","06/02/2026 09:02:12"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\Villa_Canabrava_Digital_World\.venv\Lib\site-packages\numpy.libs\libscipy_openblas64_-13e2df515630b4a41f92893938845698.dll","20390912","05/02/2026 20:34:45"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\.venv\Lib\site-packages\numpy.libs\libscipy_openblas64_-13e2df515630b4a41f92893938845698.dll","20390912","06/02/2026 00:24:30"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\.venv-gis\Lib\site-packages\pyogrio.libs\gdal-8a2204e692549e77b1635a2695862dde.dll","20111360","06/02/2026 09:02:23"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\Villa_Canabrava_Digital_World\.venv\Lib\site-packages\pyogrio.libs\gdal-8a2204e692549e77b1635a2695862dde.dll","20111360","05/02/2026 20:35:01"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\.venv\Lib\site-packages\pyogrio.libs\gdal-8a2204e692549e77b1635a2695862dde.dll","20111360","06/02/2026 00:24:39"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\.venv-gis\Lib\site-packages\fiona.libs\gdal-3105cd430966b2574784cc5837b520a5.dll","19098624","06/02/2026 09:02:47"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\Villa_Canabrava_Digital_World\.venv\Lib\site-packages\fiona.libs\gdal-3105cd430966b2574784cc5837b520a5.dll","19098624","05/02/2026 20:35:30"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\.venv\Lib\site-packages\fiona.libs\gdal-3105cd430966b2574784cc5837b520a5.dll","19098624","06/02/2026 04:36:28"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\.venv\Lib\site-packages\fiona.libs\gdal-3105cd430966b2574784cc5837b520a5.dll","19098624","06/02/2026 00:25:00"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\Documentaçao Auxiliar  Mundo Virtual Villa.zip","18816817","07/02/2026 12:19:28"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\.venv\Lib\site-packages\4c842c94c09923bae9e4__mypyc.cp310-win_amd64.pyd","17611776","06/02/2026 04:35:47"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\project_analysis\acervo-rc\dist\fonts\inter\Inter.ttc","13172948","03/02/2026 19:52:23"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\project_analysis\acervo-rc\public\fonts\inter\Inter.ttc","13172948","03/02/2026 19:52:23"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\project_analysis\acervo-rc\node_modules\@esbuild\win32-x64\esbuild.exe","10617344","03/02/2026 01:19:11"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\Villa_Canabrava_Digital_World\.venv\Lib\site-packages\pyogrio\proj_data\proj.db","9388032","05/02/2026 20:35:01"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\.venv\Lib\site-packages\pyogrio\proj_data\proj.db","9388032","06/02/2026 00:24:39"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\.venv-gis\Lib\site-packages\pyogrio\proj_data\proj.db","9388032","06/02/2026 09:02:23"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\BIBLIOTECA\.venv\Lib\site-packages\pyproj\proj_dir\share\proj\proj.db","9261056","06/02/2026 00:24:38"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\Villa_Canabrava_Digital_World\.venv\Lib\site-packages\pyproj\proj_dir\share\proj\proj.db","9261056","05/02/2026 20:35:00"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\.venv\Lib\site-packages\pyproj\proj_dir\share\proj\proj.db","9261056","06/02/2026 04:35:47"
"C:\Users\rober\Desktop\Mundo Virtual Villa Canabrava\.venv-gis\Lib\site-packages\pyproj\proj_dir\share\proj\proj.db","9261056","06/02/2026 09:02:22"
